Date,Article Sentiment,Impact Score,Stock Code
2014-04-19,0.424,76.661,BA
2014-04-18,0.178,76.351,BA
2014-04-17,0.089,75.152,BA
2014-04-16,-0.025,74.542,BA
2014-04-15,-0.2,75.96,BA
2014-04-14,-0.25,75.75,BA
2014-04-13,-0.075,76.706,BA
2014-04-12,0.004,74.538,BA
2014-04-11,0.062,78.043,BA
2014-04-10,0.152,78.08,BA
2014-04-09,0.459,77.557,BA
2014-04-08,0.098,75.698,BA
2014-04-07,0.188,75.167,BA
2014-04-06,0.117,74.618,BA
2014-04-05,0.0,76.067,BA
2014-04-04,-0.193,75.149,BA
2014-04-03,0.01,75.476,BA
2014-04-02,-0.286,75.293,BA
2014-04-01,-0.395,76.547,BA
2014-03-31,-0.226,74.583,BA
2014-03-30,-0.492,75.08,BA
2014-03-29,-0.118,76.688,BA
2014-03-28,-0.006,76.112,BA
2014-03-27,0.043,76.947,BA
2014-03-26,0.403,78.767,BA
2014-03-25,0.141,77.611,BA
2014-03-24,0.272,76.533,BA
2014-03-23,0.15,81.1,BA
2014-03-22,0.237,78.773,BA
2014-03-21,-0.005,76.565,BA
2014-03-20,0.081,77.398,BA
2014-03-19,0.444,77.455,BA
2014-03-18,-0.08,78.357,BA
2014-03-17,-0.08,75.333,BA
2014-03-16,0.338,74.459,BA
2014-03-15,-0.039,75.815,BA
2014-03-14,-0.187,75.222,BA
2014-03-13,-0.247,76.177,BA
2014-03-12,-0.123,76.186,BA
2014-03-11,-0.41,77.75,BA
2014-03-10,-0.793,74.107,BA
2014-03-09,-0.652,74.435,BA
2014-03-08,0.206,73.229,BA
2014-03-07,0.393,73.827,BA
2014-03-06,0.085,77.525,BA
2014-03-05,-0.267,77.45,BA
2014-03-04,0.073,78.364,BA
2014-03-03,-0.175,74.25,BA
2014-03-02,-0.25,75.0,BA
2014-03-01,-0.003,75.645,BA
2014-02-28,0.054,76.036,BA
2014-02-27,-0.186,76.114,BA
2014-02-26,0.32,75.633,BA
2014-02-25,0.595,74.214,BA
2014-02-24,0.616,73.25,BA
2014-02-23,0.143,76.5,BA
2014-02-22,-0.109,76.069,BA
2014-02-21,0.397,75.767,BA
2014-02-20,0.154,74.0,BA
2014-02-19,0.191,74.044,BA
2014-02-18,-0.013,74.633,BA
2014-02-17,-0.063,74.875,BA
2014-02-16,0.524,76.095,BA
2014-02-15,0.44,78.48,BA
2014-02-14,0.461,76.721,BA
2014-02-13,0.476,76.652,BA
2014-02-12,0.364,76.75,BA
2014-02-11,0.268,77.561,BA
2014-02-10,0.571,74.071,BA
2014-02-09,-0.063,74.25,BA
2014-02-08,0.261,75.745,BA
2014-02-07,-0.008,78.523,BA
2014-02-06,0.401,75.463,BA
2014-02-05,0.563,74.464,BA
2014-02-04,0.5,79.333,BA
2014-02-03,0.1,76.4,BA
2014-02-02,0.262,78.286,BA
2014-02-01,0.232,76.736,BA
2014-01-31,0.24,79.332,BA
2014-01-30,0.387,80.662,BA
2014-01-29,0.261,75.894,BA
